section,filename,kind,size,sha256,relpath
__MACOSX,._FBIMichigan Fraudulent Registration Applications 91 of 107 RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Fraudulent Registration Applications 91 of 107 RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Fraudulent Request Memo2 RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Fraudulent Request Memo2 RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Orginal Muskego MSP Referral RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Orginal Muskego MSP Referral RELEASE MARKED.pdf
__MACOSX,._FBIMichigan PIN2023 Delay Memo - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan PIN2023 Delay Memo - RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Voter Confirms She Did Not Register But Got Ballot RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Voter Confirms She Did Not Register But Got Ballot RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Witness Interview Memo Gift Cards Suppress Trump RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Witness Interview Memo Gift Cards Suppress Trump RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Witness Interview Memo Other States RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Witness Interview Memo Other States RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Witness Interview Memo Paid By Registration Others Falsified RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Witness Interview Memo Paid By Registration Others Falsified RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Witness Interview Memo Pot For Registrations RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Witness Interview Memo Pot For Registrations RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Witness Interview Memo Probably Forged Memos RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Witness Interview Memo Probably Forged Memos RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Witness Interview Widespread Fake Registrations RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Witness Interview Widespread Fake Registrations RELEASE MARKED.pdf
__MACOSX,._FBIMichigan Worker Interview Sit In Car Fake Registrations RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._FBIMichigan Worker Interview Sit In Car Fake Registrations RELEASE MARKED.pdf
__MACOSX,._FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf
__MACOSX,._GBI Strategies -RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._GBI Strategies -RELEASE MARKED.pdf
__MACOSX,._NICA Foreign Threats To 2020 US Election_19AUG2020 DECLASS_REDACTED.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._NICA Foreign Threats To 2020 US Election_19AUG2020 DECLASS_REDACTED.pdf
__MACOSX,._NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,appledouble,212,ca212eeb332b8b370110bac66920be059fb694f8959ca4767b43a701b8ffca0a,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf
__MACOSX,._NICM_ChinaStepsToInfluenceElection_16OCT2020_DECLASS_REDACTED.pdf,appledouble,212,ca212eeb332b8b370110bac66920be059fb694f8959ca4767b43a701b8ffca0a,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._NICM_ChinaStepsToInfluenceElection_16OCT2020_DECLASS_REDACTED.pdf
__MACOSX,._NICM_VulnerabilitiesInUS2020ElectionInfrastructure_15JAN2020_DECLASS_REDACTEDed.pdf,appledouble,268,1c57d9218625482c41d52062900c708b90cabd4acd367c68f858ce0065881328,__MACOSX/1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/._NICM_VulnerabilitiesInUS2020ElectionInfrastructure_15JAN2020_DECLASS_REDACTEDed.pdf
__MACOSX,._Note - Sensitive PRC Reporting from 2018-2020 DECLASS_REDACTED.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._Note - Sensitive PRC Reporting from 2018-2020 DECLASS_REDACTED.pdf
__MACOSX,._PDB 25JUN2020_DECLASS_REDACTED.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._PDB 25JUN2020_DECLASS_REDACTED.pdf
__MACOSX,._PIN EDMI declination - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._PIN EDMI declination - RELEASE MARKED.pdf
__MACOSX,._PIN GBI Declination - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._PIN GBI Declination - RELEASE MARKED.pdf
__MACOSX,._PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf
__MACOSX,._PRC Collection of US VoterMilitaryData - clean - declass marked_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._PRC Collection of US VoterMilitaryData - clean - declass marked_Redacted.pdf
__MACOSX,._PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf
__MACOSX,._PRC U.S. Presidential Election-Related Intelligence in 2020 - clean - declass marked_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._PRC U.S. Presidential Election-Related Intelligence in 2020 - clean - declass marked_Redacted.pdf
__MACOSX,._PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf
__MACOSX,._Summary - clean - declass marked PART 1.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._Summary - clean - declass marked PART 1.pdf
__MACOSX,._Summary - clean - declass marked PART 2.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._Summary - clean - declass marked PART 2.pdf
__MACOSX,._Summary - clean - declass marked PART 3.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._Summary - clean - declass marked PART 3.pdf
__MACOSX,._Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf
__MACOSX,._US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,appledouble,212,7cb5079edb7971278d47e348faf5bb53295ff7b88c858a090b9a9a9d0226c22a,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf
__MACOSX,._Voter Fraud Spreadsheet - RELEASE MARKED.pdf,appledouble,212,941313f39d30fd5e617b8b8ceb08fda702d9795a4cace41a0c21383f281adcfb,__MACOSX/3. Michigan Voter-Registration Investigation/._Voter Fraud Spreadsheet - RELEASE MARKED.pdf
__MACOSX,._Voter Registration Database Threats - FINAL.pdf,appledouble,212,4460b5913a80d3e4e61d4ab2e9c0d60da18a4b390f50f75b7673fc9844b772e1,__MACOSX/4. Noncitizens on State Voter Rolls/._Voter Registration Database Threats - FINAL.pdf
__MACOSX,._WHTF Government Transparency - States Statement FINAL.pdf,appledouble,236,386a633d4f26746ce70f11f571b6a4b34f7e43b7fa911f55dc7fcac6ddb8defe,__MACOSX/2. China’s Acquisition and Exploitation of American Voter Data/._WHTF Government Transparency - States Statement FINAL.pdf
